Sample	Φ	cp
155C	7.4	0.98
154B	8.4	3.1
167A	6.3	3.1
173A	6.9	0.61
172A	7.8	1.5
188B	8	0.4
170A	18.3	0.59
165B	14	0.69
153A	17.6	0.88
162B	15.7	1.2
164A	14.8	1.3
205A	13	0.32
AR-23	19.7	0.4
209A	16.2	0.327
151A	28.5	0.55
150A	29	0.71
163A	26.6	1
181A	31.7	0.34
210B	32	0.281

